call_type,description,category_L1
1016,PRISONER IN CUSTODY,Administration
1016PT,PTU (PRISONER TRANSPORT),Administration
1021,PHONE YOUR STATION,Service
1021H,PHONE YOUR HOME,Service
10851,AUTO THEFT,Crime
10851E,EVAL-POSS UNREPORTED CAR THEFT,Crime
10851R,CAR THEFT REPORT,Administration
10851RR,CAR THEFT RECOVERY REPORT,Administration
10852A,VEHICLE ALARM/AUDIBLE,False_alarm
10852C,VEHICLE CASER,Infrastructure
10852R,TAMPERING W/VEH REPORT,Administration
1087,MEET OFFICER NON URGENT,Service
11-6SPT,DISCHARGING FIREARM SHOT SPOTTER ACTIVATION,Crime
7-Nov,PROWLER,Service
8-Nov,PERSON DOWN,Health
1110M,REPORT OF CRIME OCCD MEXICO,Administration
1111,CHECK THE AREA,Service
1111,CHECK THE AREA,Service
1130,INCOMPLETE PHONE CALL,False_alarm
1130,INCOMPLETE PHONE CALL,False_alarm
1131,CALLING FOR HELP,Health
1131,CALLING FOR HELP,Health
1131A,CALLING FOR HELP-PANIC ALARM,Health
1140OD,"AMBULANCE CALL, OVERDOSE",Health
1141,AMBULANCE NEEDED,Health
1144,CORONER'S CASE,Administration
1146,REPORT OF DEATH,Administration
1149,TRAFFIC STOP/NO LICENSE,Infrastructure
1150,TRAFFIC STOP/WITH LICENSE,Infrastructure
1153,SECURITY CHECK,Service
1180,SERIOUS INJURY ACCIDENT,Health
1180-CR,SERIOUS INJ ACCIDENT-COST RECOVERY,Infrastructure
1181,MINOR INJURY ACCIDENT,Health
1181-CR,MINOR INJURY ACCIDENT-COST RECOVERY,Health
1181R,"MINOR TRAFFIC INJURY, REPORT",Administration
1182,NON-INJURY ACCIDENT,Health
1182-CR,NON-INJURY ACCIDENT-COST RECOVERY,Health
1183,NO DETAIL ACCIDENT,Infrastructure
1184,TRAFFIC CONTROL,Infrastructure
1184-CR,TRAFFIC CONTROL-COST RECOVERY,Infrastructure
1185,REQUEST FOR TOW TRUCK,Infrastructure
1188,ASSIST DISABLED MOTORIST,Service
146,IMPERSONATING AN OFFICER,Crime
146R,"IMPERSONATING AN OFFICER,RPT",Crime
187,MURDER,Crime
20001,FELONY HIT&RUN,Infrastructure
20002R,HIT AND RUN REPORT,Administration
207R,KIDNAPPING REPORT,Administration
211,ROBBERY,Crime
211A,ROBBERY ALARM,False_alarm
211C,ROBBERY CASER,Crime
211R,ROBBERY REPORT,Administration
211SPEC,ROBBERY-GPS DEVICE,Crime
215R,CARJACKING REPORT,Administration
23103,RECKLESS DRIVING,Infrastructure
23110R,THROWING OBJECTS AT AN OCC VEH REPORT,Administration
23152,DUI,Infrastructure
23152-CR,DUI-COST RECOVERY,Infrastructure
242,BATTERY,Crime
242R,BATTERY REPORT,Administration
245DV,ADW DOMESTIC VIOLENCE RELATED,Crime
245R,ADW REPORT,Administration
278R,CHILD STEALING REPORT,Administration
314R,INDECENT EXPOSURE REPORT,Administration
368,ABUSE OF ELDER ADULT,Health
374,LITTERING,Service
415CN,CONSTRUCTION NOISE COMPLAINT,Service
415DV,DOMESTIC VIOL/OCCURRING NOW,Crime
415N,DISTURBING PEACE NOISE ONLY,Service
415N-CR,DISTURB PEACE/NOISE-COST RECOVERY,Service
415W,DISTURBING PEACE UNCONC WEAPON,Crime
417,THREATENING W/WEAPON,Crime
417R,THREATENING W/WEAPON REPORT,Administration
422R,CRIMINAL THREATS REPORT,Administration
451R,ARSON REPORT,Administration
459,BURGLARY IN PROGRESS,Crime
459-SUSP,459 SUSPECT THERE NOW,Crime
459A,BURGLARY ALARM,False_alarm
459C,BURGLARY CASER,Crime
459HP,BURGLARY HOT PROWL,Crime
459R,BURGLARY REPORT,Administration
459SPEC,BURGLARY-GPS DEVICE,Crime
470,FORGERY IN PROGRESS,Crime
470R,FORGERY REPORT,Administration
470RX,FORGERY OF RX-SUSP THERE NOW,Crime
487,GRAND THEFT $950+,Crime
487R,GRAND THEFT/REPORT $950+,Administration
488,PETTY THEFT/UNDER $950,Crime
488R,PETTY THEFT REPORT/UNDER $950,Administration
496,RECEIVE/SELL STOLEN PROP,Crime
498,THEFT OF UTILITIES IN PROGRESS,Crime
498R,THEFT OF UTILITIES REPORT,Administration
503CAR,STOLEN VEHICLE LOG,Infrastructure
508R,"EMBEZZLEMENT, REPORT",Administration
5150,MENTAL CASE,Health
5150V,MENTAL CASE-VIOLENT OR URGENT,Health
518R,"EXTORTION, REPORT",Administration
530,FALSE USE OF ANOTHERS IDENTITY,Crime
532,FRAUD SOLICITATION/CHARITIES,Crime
532,FRAUD SOLICITATION/CHARITIES,Crime
537R,DEFRAUDING INNKEEPER REPORT,Administration
586,ILLEGAL PARKING,Infrastructure
586H,ILLEGAL PARKING-HANDICAPPED,Infrastructure
586O,ILLEGAL OVO PARKING,Infrastructure
594,"VANDALISM, IN PROGRESS",Crime
594GR,GRAFFITI VANDALISM REPORT,Administration
594R,"VANDALISM, REPORT",Administration
594VARDA,"VANDALISM,ALARM",False_alarm
595,RUNAWAY VEHICLE,Health
597R,"CRUELTY TO ANIMALS, REPORT",Administration
646R,STALKING REPORT,Administration
647F,DRUNK - DRUGS/ALCOHOL,Service
653M,"THREATENING PHONE CALL, REPORT",Administration
72HR,VEH VIOLATING 72HR PARKING RES,Infrastructure
ALERT3,AIRPLANE CRASH,Infrastructure
ALERT4,BOMB/HIJACK THREAT,Crime
AMBER,AMBER ALERT INFO,Service
ASST,ASSIST THE INVALID,Service
AU-MP,MISSING PERSON ALL UNITS INFO,Health
AU1,ALL UNITS INFORMATION-PRI 1,Service
AU10851,AUTO THEFT ALL UNITS INFO,Crime
AU187,MURDER-ALL UNITS INFORMATION,Crime
AU2,ALL UNITS INFORMATION-PRI 2,Service
AU211,ROBBERY-ALL UNITS INFORMATION,Crime
AU215,CAR JACK-ALL UNITS INFORMATION,Service
AU23103,RECKLESS DRIVING-ALL UNITS,Infrastructure
AU23152,DUI-ALL UNITS INFORMATION,Infrastructure
AU245,ADW-ALL UNITS INFORMATION,Service
BIO,BIOHAZARD-DESK CALL,Service
BIOALARM,((ANTHRAX ALARM))),False_alarm
BOL,AU INFO/USED BY DESK OR RADIO,Service
BOMB,"BOMB THREAT, DESK CALL",Service
BOMB-S,"BOMB THREAT, DESK CALL (SCHOOL)",Service
CCF-PBBP,CCF-PB BLOCK PARTY,Infrastructure
CCW,CARRYING CONCEALED WEAPON,Crime
CITE,ISSUE CITATION,Administration
COURT,COURT,Administration
CW,CHECK THE WELFARE,Health
DC,DESK CALL,Service
DC-S,DESK CALL (SCHOOL),Service
DEMO,DEMONSTRATION CALLS,Service
DRAGNET,ILLEGAL STREET RACING,Infrastructure
FIREWORK,ALL UNITS INFORMATION,Service
FJ,FOUND JUVENILE,Health
FOOT,FOOT PATROL/FIELD INITIATED,Service
FP,FOOT PURSUIT,Crime
FP,WARRANT,Administration
FS,FOUND SENILE,Health
FU,FOLLOW-UP BY FIELD UNIT,Administration
GPSPAL,GPS PAROLE VIOLATION,Administration
HATEINV,HATE CRIME INVESTIGATION,Crime
INFO,INFORMATION FOR DISPATCHERS,Service
INFOCHP,INFORMATION FOR CHP,Service
INFOT,"INFO ON TRAFFIC,HIT & RUN-ADVISED EVENT",Infrastructure
INFOX,EXTRA PATROL INFO FOR FIELD SGT-ADVISED EVENT,Service
JST,JUVENILE SERVICE TEAM HOTLINE,Health
LOJACK,STOLEN VEH-LOJACK,Crime
LOST,REPORT OF LOST PROPERTY/PLATE,Administration
MJ,MISSING JUV OF TENDER YEARS,Health
MP,"MISSING PERSON, REPORT EVAL",Administration
MPSSTP,TRAFFIC STOP FROM THE MOBILE COMPUTER,Infrastructure
MS,MISSING SENILE,Health
OVO,OVERSIZED VEHICLE ORDINANCE,Infrastructure
PARTY,LOUD PARTY,Service
PARTY-CR,LOUD PARTY-COST RECOVERY,Service
PLATE,LOST/STOLEN PLATE ,Crime
PORT,BORDER/PORT RUNNER A/U,Infrastructure
PRT,PRT ASSIST,Service
RESCUE,RESCUE CITIZENS,Health
RJ,"RUNAWAY JUVENILE, REPORT",Administration
SHOPS,INFORMATION FOR SHOPS,Service
STREET,STREET INFORMATION,Service
T,TRAFFIC STOP WITH PLATE,Infrastructure
TAGGER,"TAGGER VANDALISM, IN PROGRESS",Crime
TARASOFF,TARASOFF REPORT,Administration
TP,TRAFFIC PURSUIT,Infrastructure
TRO,"TRO VIOLATION, REPORT",Administration
VARDA,VARDA ALARM,False_alarm
WARRANT,WARRANT,Administration
1016QC,SHOPLIFTER/QUICK CITE,Crime
10852,TAMPERING W/VEH IN PROGRESS,Crime
6-Nov,DISCHARGING FIREARMS,Crime
1115,BALL GAME IN STREET(83 03MC),Service
1115,BALL GAME IN STREET(83 03MC),Service
1147,INJURED PERSON,Health
1148,FURNISH TRANSPORTATION,Service
1151,PED STOP/FIELD INTERVIEW,Service
1155,HAZARDOUS/CHEMICAL SPILL,Hazmat
1160,INVESTIGATE WATER LEAK,Infrastructure
1166,SIGNALS OUT OF ORDER,Infrastructure
1171,FIRE,Fire
1186,SPECIAL DETAIL,Service
1199,OFFICER NEEDS HELP,Crime
136,INTIMIDATION OF WITNESS,Crime
187-SUSP,187 SUSPECT THERE NOW,Crime
20001-CR,FELONY HIT/RUN-COST RECOVERY,Administration
20002,MISD HIT/RUN,Infrastructure
20002-CR,MISD HIT/RUN-COST RECOVERY,Administration
207,KIDNAPPING IN PROGRESS,Crime
211-SUSP,211 SUSPECT THERE NOW,Crime
215,CAR JACKING,Crime
23110,THROWING OBJECTS AT AN OCC VEH,Service
245,ADW,Crime
245-CR,ADW-COST RECOVERY,Administration
245-SUSP,245 SUSPECT THERE NOW,Crime
246,FIRING AT OCCP'D HSE/VEH,Crime
246R,FIRING AT OCCP'D HSE/VEH 1110,Crime
247,FIRING AT UNOCCUPIED VEH,Crime
247R,FIRING AT UNOCCPD VEH/HSE 1110,Crime
271,CHILD DESERTION,Health
272,CONTRIBUTING DELINQ MINOR,Health
278,CHILD STEALING,Crime
278,CHILD STEALING,Crime
314,INDECENT EXPOSURE,Crime
330,GAMBLING,Service
402B,ABANDONED REFRIGERATOR,Service
415,DISTURBING PEACE,Service
415,DISTURBING PEACE,Service
415CAPP,DIST PEACE-CAPP HOUSE,Service
415PP,PRESERVE THE PEACE,Service
415SH-CR,SOCIAL HOST-COST RECOVERY,Administration
415TOW,DISTURBING PEACE RE: TOWING,Service
415V,DISTURBING PEACE W/VIOLENCE,Service
422,CRIMINAL THREATS,Crime
451,ARSON IN PROGRESS,Fire
502,COMPUTER CRIMES - TRU USE ONLY,Crime
537,"DEFRAUDING INNKEEPER, IN PROGR",Crime
597,"CRUELTY TO ANIMALS, IN PROGRES",Animal
602,TRESPASSING,Service
646,STALKING,Crime
647B,PROSTITUTION,Service
911,"UNK EMERG, HANG UP/OPEN LINE",False_alarm
911P,"UNK EMER,HANGUP/OPEN,PAYFONE",False_alarm
ALERT2,AIRPLANE PROBLEM,Infrastructure
ANIMAL,VICIOUS ANIMAL,Animal
APPT,APPOINTMENT,Administration
AU1171,ALL UNITS FIRE INFO-PRI 1,Service
AUHATE,HATE INCIDENT ALL UNITS INF,Crime
BIKE,DOCKLESS BIKE COMPLAINT,Service
BLOOD,BLOOD RUN,Health
BLUE,TAXI OR BUS NEEDS HELP,Infrastructure
C10,SWAT STAGING,Crime
C100,ATTACK ON PD FACILITY,Crime
C11,SWAT STAGING,Crime
C11-CR,SWAT STAGING-COST RECOVERY,Crime
C12,SWAT EMERGENCY RESPONSE,Crime
C5,STAKEOUT,Crime
C6,STAYOUT OF AREA/NO RADIO TRANS,Administration
CC,CITIZEN CONTACT,Service
CCCC,CHRONIC COMM CALLER CONTROL,Service
CCF,CITIZEN'S COMPLAINT INVESTIGAT,Service
CCF-EVNT,CITIZEN'S COMPLAINT SPEC EVENT,Service
CCF-RRM,CCF-ROCK N ROLL MARATHON,Administration
COVER,COVER NOW,Service
COVER-CR,COVER NOW-COST RECOVERY,Administration
DRUN,HOMELAND SECURITY CHECKS,Administration
EJECT,EJECTED FROM AN EVENT,Service
ESCAPE,ESCAPE/ESCAPEE,Crime
EVAC,EVACUATE CITIZENS,Evacuation
EVID,PICK UP EVIDENCE,Administration
EXPLO,EXPLOSION,Hazmat
FC,FRONT COUNTER CLOSURES,Administration
