BEAT,SEASON,CALLS
0,Fall,1
0,Spring,1
0,Summer,3
9,Spring,2
9,Summer,1
9,Winter,2
111,Fall,1323
111,Spring,1262
111,Summer,1156
111,Winter,1362
112,Fall,485
112,Spring,469
112,Summer,405
112,Winter,496
113,Fall,644
113,Spring,515
113,Summer,514
113,Winter,596
114,Fall,882
114,Spring,871
114,Summer,776
114,Winter,925
115,Fall,2602
115,Spring,2026
115,Summer,1934
115,Winter,2372
116,Fall,982
116,Spring,811
116,Summer,752
116,Winter,976
121,Fall,1056
121,Spring,779
121,Summer,968
121,Winter,759
122,Fall,4578
122,Spring,3790
122,Summer,3871
122,Winter,4020
123,Fall,1413
123,Spring,986
123,Summer,1294
123,Winter,1024
124,Fall,2422
124,Spring,2195
124,Summer,2150
124,Winter,2512
126,Fall,322
126,Spring,278
126,Summer,225
126,Winter,346
231,Fall,288
231,Spring,227
231,Summer,264
231,Winter,307
232,Fall,706
232,Spring,507
232,Summer,564
232,Winter,585
233,Fall,1323
233,Spring,1307
233,Summer,1152
233,Winter,1353
234,Fall,1092
234,Spring,1008
234,Summer,919
234,Winter,1155
235,Fall,121
235,Spring,124
235,Summer,87
235,Winter,108
241,Fall,558
241,Spring,575
241,Summer,499
241,Winter,681
242,Fall,2560
242,Spring,2341
242,Summer,2225
242,Winter,2625
243,Fall,744
243,Spring,757
243,Summer,654
243,Winter,715
245,Fall,58
245,Spring,74
245,Summer,61
245,Winter,75
246,Fall,261
246,Spring,239
246,Summer,215
246,Winter,289
311,Fall,2115
311,Spring,2042
311,Summer,1728
311,Winter,2140
312,Fall,737
312,Spring,651
312,Summer,551
312,Winter,789
313,Fall,3151
313,Spring,3188
313,Summer,2822
313,Winter,3652
314,Fall,762
314,Spring,602
314,Summer,502
314,Winter,756
315,Fall,2466
315,Spring,2008
315,Summer,1850
315,Winter,2315
316,Fall,74
316,Spring,67
316,Summer,39
316,Winter,66
321,Fall,1359
321,Spring,1171
321,Summer,1165
321,Winter,1583
322,Fall,436
322,Spring,389
322,Summer,361
322,Winter,466
323,Fall,279
323,Spring,242
323,Summer,225
323,Winter,287
324,Fall,553
324,Spring,464
324,Summer,471
324,Winter,546
325,Fall,309
325,Spring,311
325,Summer,304
325,Winter,376
326,Fall,822
326,Spring,542
326,Summer,503
326,Winter,628
327,Fall,969
327,Spring,752
327,Summer,565
327,Winter,823
431,Fall,337
431,Spring,332
431,Summer,327
431,Winter,330
432,Fall,592
432,Spring,570
432,Summer,431
432,Winter,705
433,Fall,587
433,Spring,459
433,Summer,476
433,Winter,531
434,Fall,553
434,Spring,415
434,Summer,469
434,Winter,488
435,Fall,17
435,Spring,19
435,Summer,18
435,Winter,37
436,Fall,984
436,Spring,728
436,Summer,729
436,Winter,860
437,Fall,1013
437,Spring,909
437,Summer,798
437,Winter,1066
438,Fall,686
438,Spring,579
438,Summer,531
438,Winter,678
439,Fall,90
439,Spring,84
439,Summer,93
439,Winter,113
441,Fall,1381
441,Spring,1079
441,Summer,1042
441,Winter,1275
442,Fall,633
442,Spring,618
442,Summer,491
442,Winter,652
443,Fall,320
443,Spring,279
443,Summer,257
443,Winter,358
444,Fall,422
444,Spring,401
444,Summer,337
444,Winter,473
445,Fall,501
445,Spring,516
445,Summer,381
445,Winter,514
446,Fall,956
446,Spring,782
446,Summer,668
446,Winter,913
447,Fall,596
447,Spring,482
447,Summer,459
447,Winter,685
451,Fall,867
451,Spring,797
451,Summer,728
451,Winter,884
452,Fall,392
452,Spring,313
452,Summer,300
452,Winter,362
511,Fall,1852
511,Spring,1862
511,Summer,1748
511,Winter,1963
512,Fall,3035
512,Spring,2687
512,Summer,2451
512,Winter,3095
514,Fall,959
514,Spring,823
514,Summer,818
514,Winter,801
515,Fall,482
515,Spring,470
515,Summer,454
515,Winter,523
516,Fall,401
516,Spring,404
516,Summer,350
516,Winter,403
517,Fall,744
517,Spring,802
517,Summer,655
517,Winter,868
518,Fall,337
518,Spring,194
518,Summer,183
518,Winter,225
521,Fall,7125
521,Spring,6982
521,Summer,6020
521,Winter,7616
522,Fall,1142
522,Spring,872
522,Summer,1122
522,Winter,1097
523,Fall,1905
523,Spring,1693
523,Summer,1622
523,Winter,1760
524,Fall,3909
524,Spring,3758
524,Summer,3452
524,Winter,4091
525,Fall,387
525,Spring,286
525,Summer,281
525,Winter,344
526,Fall,1186
526,Spring,914
526,Summer,832
526,Winter,1169
527,Fall,397
527,Spring,361
527,Summer,254
527,Winter,344
528,Fall,768
528,Spring,670
528,Summer,528
528,Winter,742
529,Fall,1178
529,Spring,1132
529,Summer,1139
529,Winter,1242
531,Fall,1062
531,Spring,865
531,Summer,914
531,Winter,1082
541,Fall,682
541,Spring,767
541,Summer,890
541,Winter,714
611,Fall,2714
611,Spring,2309
611,Summer,2165
611,Winter,2605
612,Fall,320
612,Spring,235
612,Summer,243
612,Winter,279
613,Fall,1045
613,Spring,922
613,Summer,820
613,Winter,1071
614,Fall,2034
614,Spring,2097
614,Summer,1898
614,Winter,2034
615,Fall,394
615,Spring,307
615,Summer,298
615,Winter,368
616,Fall,85
616,Spring,75
616,Summer,99
616,Winter,103
617,Fall,89
617,Spring,61
617,Summer,67
617,Winter,80
618,Fall,193
618,Spring,146
618,Summer,148
618,Winter,174
621,Fall,1321
621,Spring,1198
621,Summer,961
621,Winter,1372
622,Fall,1380
622,Spring,1209
622,Summer,1049
622,Winter,1246
623,Fall,1411
623,Spring,1280
623,Summer,1118
623,Winter,1555
624,Fall,802
624,Spring,726
624,Summer,723
624,Winter,922
625,Fall,736
625,Spring,676
625,Summer,710
625,Winter,828
626,Fall,516
626,Spring,467
626,Summer,394
626,Winter,489
627,Fall,2442
627,Spring,2288
627,Summer,2077
627,Winter,2681
628,Fall,528
628,Spring,480
628,Summer,431
628,Winter,548
711,Fall,24
711,Spring,20
711,Summer,22
711,Winter,24
712,Fall,2137
712,Spring,1983
712,Summer,1787
712,Winter,2325
713,Fall,1226
713,Spring,1042
713,Summer,1038
713,Winter,1159
714,Fall,359
714,Spring,416
714,Summer,362
714,Winter,382
721,Fall,678
721,Spring,691
721,Summer,630
721,Winter,756
722,Fall,786
722,Spring,755
722,Summer,674
722,Winter,900
723,Fall,1749
723,Spring,1560
723,Summer,1387
723,Winter,1857
724,Fall,632
724,Spring,507
724,Summer,562
724,Winter,647
725,Fall,653
725,Spring,562
725,Summer,583
725,Winter,687
811,Fall,578
811,Spring,550
811,Summer,477
811,Winter,532
812,Fall,40
812,Spring,34
812,Summer,21
812,Winter,20
813,Fall,2316
813,Spring,2380
813,Summer,2104
813,Winter,2661
814,Fall,176
814,Spring,191
814,Summer,172
814,Winter,228
821,Fall,952
821,Spring,729
821,Summer,776
821,Winter,844
822,Fall,520
822,Spring,573
822,Summer,480
822,Winter,636
823,Fall,340
823,Spring,358
823,Summer,244
823,Winter,341
824,Fall,687
824,Spring,628
824,Summer,591
824,Winter,837
825,Fall,378
825,Spring,397
825,Summer,344
825,Winter,509
826,Fall,1051
826,Spring,985
826,Summer,894
826,Winter,1094
827,Fall,415
827,Spring,383
827,Summer,363
827,Winter,483
828,Fall,209
828,Spring,184
828,Summer,201
828,Winter,160
829,Fall,10
829,Spring,14
829,Summer,18
829,Winter,12
831,Fall,672
831,Spring,748
831,Summer,653
831,Winter,892
832,Fall,784
832,Spring,862
832,Summer,661
832,Winter,895
833,Fall,485
833,Spring,451
833,Summer,372
833,Winter,464
834,Fall,1269
834,Spring,1038
834,Summer,1074
834,Winter,1208
835,Fall,218
835,Spring,221
835,Summer,210
835,Winter,240
836,Fall,268
836,Spring,272
836,Summer,281
836,Winter,322
837,Fall,238
837,Spring,241
837,Summer,266
837,Winter,274
838,Fall,694
838,Spring,659
838,Summer,512
838,Winter,703
839,Fall,309
839,Spring,349
839,Summer,353
839,Winter,401
841,Fall,235
841,Spring,238
841,Summer,211
841,Winter,297
931,Fall,749
931,Spring,780
931,Summer,756
931,Winter,797
932,Fall,86
932,Spring,76
932,Summer,107
932,Winter,107
933,Fall,235
933,Spring,199
933,Summer,233
933,Winter,275
934,Fall,1402
934,Spring,1262
934,Summer,1234
934,Winter,1617
935,Fall,230
935,Spring,214
935,Summer,217
935,Winter,260
936,Fall,199
936,Spring,141
936,Summer,140
936,Winter,195
937,Fall,289
937,Spring,271
937,Summer,238
937,Winter,337
