BEAT,CALLS
521,27743
122,16259
524,15210
313,12813
512,11268
611,9793
242,9751
627,9488
813,9461
124,9279
115,8934
315,8639
712,8232
614,8063
311,8025
511,7425
523,6980
723,6553
934,5515
623,5364
321,5278
233,5135
111,5103
622,4884
621,4852
441,4777
123,4717
529,4691
834,4589
713,4465
522,4233
234,4174
526,4101
826,4024
531,3923
613,3858
437,3786
121,3562
116,3521
114,3454
514,3401
446,3319
436,3301
821,3301
451,3276
832,3202
624,3173
722,3115
327,3109
931,3082
517,3069
541,3053
831,2965
625,2950
243,2870
721,2755
824,2743
312,2728
528,2708
314,2622
838,2568
326,2495
725,2485
438,2474
442,2394
232,2362
724,2348
241,2313
432,2298
113,2269
447,2222
822,2209
811,2137
433,2053
324,2034
628,1987
515,1929
434,1925
445,1912
626,1866
112,1855
833,1772
322,1652
827,1644
444,1633
825,1628
516,1558
714,1519
839,1412
615,1367
452,1367
527,1356
431,1326
325,1300
525,1298
823,1283
443,1214
126,1171
836,1143
937,1135
231,1086
612,1077
323,1033
837,1019
246,1004
841,981
933,942
518,939
935,921
835,889
814,767
828,754
936,675
618,661
235,440
439,380
932,376
616,362
617,297
245,268
316,246
812,115
435,91
711,90
829,54
9,5
0,5
