BEAT,AVG_CALLS,HIGH_RISK_RATIO,SHIFT,SCENARIO,SCENARIO_DEMAND,UNITS,IS_HOTSPOT,SHIFT_HOURS,CAPACITY,COVERAGE,SHORTFALL
0,1.0,0.5,Night,status_quo,1.0,0,0,8.0,0.0,0.0,1.0
111,3.0588235294117645,0.6741452991452992,Night,status_quo,3.0588235294117645,1,0,8.0,24.0,3.0588235294117645,0.0
112,1.7455357142857142,0.7979539641943734,Night,status_quo,1.7455357142857142,0,0,8.0,0.0,0.0,1.7455357142857142
113,1.8222222222222224,0.6804878048780488,Night,status_quo,1.8222222222222224,0,0,8.0,0.0,0.0,1.8222222222222224
114,2.4461538461538463,0.7028301886792453,Night,status_quo,2.4461538461538463,1,0,8.0,24.0,2.4461538461538463,0.0
115,5.100609756097561,0.5893604303646145,Night,status_quo,5.100609756097561,1,0,8.0,24.0,5.100609756097561,0.0
116,2.527586206896552,0.7339699863574352,Night,status_quo,2.527586206896552,1,0,8.0,24.0,2.527586206896552,0.0
121,2.6188679245283017,0.6628242074927954,Night,status_quo,2.6188679245283017,1,0,8.0,24.0,2.6188679245283017,0.0
122,11.553571428571429,0.7086553323029366,Night,status_quo,11.553571428571429,2,1,8.0,48.0,11.553571428571429,0.0
123,3.627831715210356,0.3800178412132025,Night,status_quo,3.627831715210356,1,0,8.0,24.0,3.627831715210356,0.0
124,4.850746268656716,0.6578461538461539,Night,status_quo,4.850746268656716,1,0,8.0,24.0,4.850746268656716,0.0
126,1.3357142857142856,0.5989304812834224,Night,status_quo,1.3357142857142856,0,0,8.0,0.0,0.0,1.3357142857142856
231,1.456140350877193,0.6566265060240963,Night,status_quo,1.456140350877193,0,0,8.0,0.0,0.0,1.456140350877193
232,1.8823529411764703,0.6276041666666666,Night,status_quo,1.8823529411764703,0,0,8.0,0.0,0.0,1.8823529411764703
233,3.19435736677116,0.5004906771344455,Night,status_quo,3.19435736677116,1,0,8.0,24.0,3.19435736677116,0.0
234,2.640138408304498,0.7024901703800787,Night,status_quo,2.640138408304498,1,0,8.0,24.0,2.640138408304498,0.0
235,1.186046511627907,0.9607843137254902,Night,status_quo,1.186046511627907,0,0,8.0,0.0,0.0,1.186046511627907
241,1.9961977186311788,0.5980952380952381,Night,status_quo,1.9961977186311788,0,0,8.0,0.0,0.0,1.9961977186311788
242,5.33933933933934,0.6811023622047244,Night,status_quo,5.33933933933934,1,0,8.0,24.0,5.33933933933934,0.0
243,2.4057971014492754,0.5316265060240963,Night,status_quo,2.4057971014492754,1,0,8.0,24.0,2.4057971014492754,0.0
245,1.2307692307692308,0.671875,Night,status_quo,1.2307692307692308,0,0,8.0,0.0,0.0,1.2307692307692308
246,1.3548387096774193,0.7380952380952381,Night,status_quo,1.3548387096774193,0,0,8.0,0.0,0.0,1.3548387096774193
311,5.12874251497006,0.4483362521891418,Night,status_quo,5.12874251497006,1,0,8.0,24.0,5.12874251497006,0.0
312,2.362264150943396,0.6150159744408946,Night,status_quo,2.362264150943396,0,0,8.0,0.0,0.0,2.362264150943396
313,8.669642857142858,0.5005149330587023,Night,status_quo,8.669642857142858,1,1,8.0,24.0,8.669642857142858,0.0
314,1.9703389830508475,0.7290322580645161,Night,status_quo,1.9703389830508475,0,0,8.0,0.0,0.0,1.9703389830508475
315,4.926153846153846,0.740787008119925,Night,status_quo,4.926153846153846,1,0,8.0,24.0,4.926153846153846,0.0
316,1.1290322580645162,0.7428571428571429,Night,status_quo,1.1290322580645162,0,0,8.0,0.0,0.0,1.1290322580645162
321,3.8098159509202456,0.782608695652174,Night,status_quo,3.8098159509202456,1,0,8.0,24.0,3.8098159509202456,0.0
322,1.6203208556149733,0.7557755775577558,Night,status_quo,1.6203208556149733,0,0,8.0,0.0,0.0,1.6203208556149733
323,1.3308823529411764,0.8121546961325967,Night,status_quo,1.3308823529411764,0,0,8.0,0.0,0.0,1.3308823529411764
324,1.7121951219512197,0.7663817663817664,Night,status_quo,1.7121951219512197,0,0,8.0,0.0,0.0,1.7121951219512197
325,1.4405594405594406,0.7669902912621359,Night,status_quo,1.4405594405594406,0,0,8.0,0.0,0.0,1.4405594405594406
326,2.236514522821577,0.6679035250463822,Night,status_quo,2.236514522821577,0,0,8.0,0.0,0.0,2.236514522821577
327,2.592592592592593,0.6728571428571428,Night,status_quo,2.592592592592593,1,0,8.0,24.0,2.592592592592593,0.0
431,1.3928571428571428,0.6709401709401709,Night,status_quo,1.3928571428571428,0,0,8.0,0.0,0.0,1.3928571428571428
432,1.9030837004405283,0.6944444444444444,Night,status_quo,1.9030837004405283,0,0,8.0,0.0,0.0,1.9030837004405283
433,1.92018779342723,0.7432762836185819,Night,status_quo,1.92018779342723,0,0,8.0,0.0,0.0,1.92018779342723
434,1.751131221719457,0.6666666666666666,Night,status_quo,1.751131221719457,0,0,8.0,0.0,0.0,1.751131221719457
435,1.0,0.8,Night,status_quo,1.0,0,0,8.0,0.0,0.0,1.0
436,2.0916030534351147,0.5054744525547445,Night,status_quo,2.0916030534351147,0,0,8.0,0.0,0.0,2.0916030534351147
437,2.52536231884058,0.7460545193687231,Night,status_quo,2.52536231884058,1,0,8.0,24.0,2.52536231884058,0.0
438,1.9791666666666667,0.728421052631579,Night,status_quo,1.9791666666666667,0,0,8.0,0.0,0.0,1.9791666666666667
439,1.2549019607843137,0.8125,Night,status_quo,1.2549019607843137,0,0,8.0,0.0,0.0,1.2549019607843137
441,3.2072368421052637,0.6205128205128205,Night,status_quo,3.2072368421052637,1,0,8.0,24.0,3.2072368421052637,0.0
442,2.106382978723404,0.7151515151515152,Night,status_quo,2.106382978723404,0,0,8.0,0.0,0.0,2.106382978723404
443,1.5123456790123455,0.8979591836734694,Night,status_quo,1.5123456790123455,0,0,8.0,0.0,0.0,1.5123456790123455
